Call Type Group,Neighborhooods - Analysis Boundaries,Call Type,Incident Number
Alarm,Bayview Hunters Point,Alarms,"1,562"
Alarm,Bernal Heights,Alarms,426
Alarm,Castro/Upper Market,Alarms,840
Alarm,Chinatown,Alarms,"1,023"
Alarm,Excelsior,Alarms,336
Alarm,Financial District/South Beach,Alarms,"4,148"
Alarm,Glen Park,Alarms,203
Alarm,Golden Gate Park,Alarms,64
Alarm,Haight Ashbury,Alarms,688
Alarm,Hayes Valley,Alarms,"1,128"
Alarm,Inner Richmond,Alarms,641
Alarm,Inner Sunset,Alarms,898
Alarm,Japantown,Alarms,321
Alarm,Lakeshore,Alarms,937
Alarm,Lincoln Park,Alarms,67
Alarm,Lone Mountain/USF,Alarms,465
Alarm,Marina,Alarms,"1,289"
Alarm,McLaren Park,Alarms,124
Alarm,Mission,Alarms,"2,467"
Alarm,Mission Bay,Alarms,981
Alarm,Nob Hill,Alarms,"1,325"
Alarm,Noe Valley,Alarms,615
Alarm,None,Alarms,6
Alarm,North Beach,Alarms,"1,025"
Alarm,Oceanview/Merced/Ingleside,Alarms,332
Alarm,Outer Mission,Alarms,237
Alarm,Outer Richmond,Alarms,714
Alarm,Pacific Heights,Alarms,"1,507"
Alarm,Portola,Alarms,121
Alarm,Potrero Hill,Alarms,"1,003"
Alarm,Presidio,Alarms,310
Alarm,Presidio Heights,Alarms,494
Alarm,Russian Hill,Alarms,783
Alarm,Seacliff,Alarms,110
Alarm,South of Market,Alarms,"3,196"
Alarm,Sunset/Parkside,Alarms,794
Alarm,Tenderloin,Alarms,"4,253"
Alarm,Treasure Island,Alarms,104
Alarm,Twin Peaks,Alarms,362
Alarm,Visitacion Valley,Alarms,210
Alarm,West of Twin Peaks,Alarms,841
Alarm,Western Addition,Alarms,"1,423"
Alarm,Bayview Hunters Point,Assist Police,6
Alarm,Bernal Heights,Assist Police,3
Alarm,Castro/Upper Market,Assist Police,2
Alarm,Chinatown,Assist Police,1
Alarm,Excelsior,Assist Police,3
Alarm,Financial District/South Beach,Assist Police,4
Alarm,Golden Gate Park,Assist Police,3
Alarm,Mission,Assist Police,2
Alarm,Potrero Hill,Assist Police,3
Alarm,South of Market,Assist Police,5
Alarm,Sunset/Parkside,Assist Police,4
Alarm,Tenderloin,Assist Police,1
Alarm,West of Twin Peaks,Assist Police,2
Alarm,Western Addition,Assist Police,1
Alarm,Bayview Hunters Point,Citizen Assist / Service Call,252
Alarm,Bernal Heights,Citizen Assist / Service Call,83
Alarm,Castro/Upper Market,Citizen Assist / Service Call,112
Alarm,Chinatown,Citizen Assist / Service Call,79
Alarm,Excelsior,Citizen Assist / Service Call,69
Alarm,Financial District/South Beach,Citizen Assist / Service Call,121
Alarm,Glen Park,Citizen Assist / Service Call,48
Alarm,Golden Gate Park,Citizen Assist / Service Call,23
Alarm,Haight Ashbury,Citizen Assist / Service Call,60
Alarm,Hayes Valley,Citizen Assist / Service Call,81
Alarm,Inner Richmond,Citizen Assist / Service Call,74
Alarm,Inner Sunset,Citizen Assist / Service Call,119
Alarm,Japantown,Citizen Assist / Service Call,50
Alarm,Lakeshore,Citizen Assist / Service Call,246
Alarm,Lincoln Park,Citizen Assist / Service Call,4
Alarm,Lone Mountain/USF,Citizen Assist / Service Call,68
Alarm,Marina,Citizen Assist / Service Call,135
Alarm,McLaren Park,Citizen Assist / Service Call,3
Alarm,Mission,Citizen Assist / Service Call,267
Alarm,Mission Bay,Citizen Assist / Service Call,69
Alarm,Nob Hill,Citizen Assist / Service Call,146
Alarm,Noe Valley,Citizen Assist / Service Call,128
Alarm,None,Citizen Assist / Service Call,4
Alarm,North Beach,Citizen Assist / Service Call,62
Alarm,Oceanview/Merced/Ingleside,Citizen Assist / Service Call,79
Alarm,Outer Mission,Citizen Assist / Service Call,50
Alarm,Outer Richmond,Citizen Assist / Service Call,141
Alarm,Pacific Heights,Citizen Assist / Service Call,115
Alarm,Portola,Citizen Assist / Service Call,56
Alarm,Potrero Hill,Citizen Assist / Service Call,79
Alarm,Presidio,Citizen Assist / Service Call,9
Alarm,Presidio Heights,Citizen Assist / Service Call,65
Alarm,Russian Hill,Citizen Assist / Service Call,83
Alarm,Seacliff,Citizen Assist / Service Call,18
Alarm,South of Market,Citizen Assist / Service Call,221
Alarm,Sunset/Parkside,Citizen Assist / Service Call,237
Alarm,Tenderloin,Citizen Assist / Service Call,538
Alarm,Treasure Island,Citizen Assist / Service Call,17
Alarm,Twin Peaks,Citizen Assist / Service Call,26
Alarm,Visitacion Valley,Citizen Assist / Service Call,53
Alarm,West of Twin Peaks,Citizen Assist / Service Call,168
Alarm,Western Addition,Citizen Assist / Service Call,148
Alarm,Bayview Hunters Point,Electrical Hazard,80
Alarm,Bernal Heights,Electrical Hazard,48
Alarm,Castro/Upper Market,Electrical Hazard,38
Alarm,Chinatown,Electrical Hazard,12
Alarm,Excelsior,Electrical Hazard,89
Alarm,Financial District/South Beach,Electrical Hazard,18
Alarm,Glen Park,Electrical Hazard,19
Alarm,Golden Gate Park,Electrical Hazard,9
Alarm,Haight Ashbury,Electrical Hazard,16
Alarm,Hayes Valley,Electrical Hazard,34
Alarm,Inner Richmond,Electrical Hazard,63
Alarm,Inner Sunset,Electrical Hazard,39
Alarm,Japantown,Electrical Hazard,1
Alarm,Lakeshore,Electrical Hazard,1
Alarm,Lincoln Park,Electrical Hazard,1
Alarm,Lone Mountain/USF,Electrical Hazard,25
Alarm,Marina,Electrical Hazard,22
Alarm,McLaren Park,Electrical Hazard,1
Alarm,Mission,Electrical Hazard,101
Alarm,Mission Bay,Electrical Hazard,9
Alarm,Nob Hill,Electrical Hazard,8
Alarm,Noe Valley,Electrical Hazard,78
Alarm,None,Electrical Hazard,1
Alarm,North Beach,Electrical Hazard,10
Alarm,Oceanview/Merced/Ingleside,Electrical Hazard,61
Alarm,Outer Mission,Electrical Hazard,37
Alarm,Outer Richmond,Electrical Hazard,180
Alarm,Pacific Heights,Electrical Hazard,28
Alarm,Portola,Electrical Hazard,21
Alarm,Potrero Hill,Electrical Hazard,50
Alarm,Presidio,Electrical Hazard,5
Alarm,Presidio Heights,Electrical Hazard,15
Alarm,Russian Hill,Electrical Hazard,24
Alarm,Seacliff,Electrical Hazard,4
Alarm,South of Market,Electrical Hazard,26
Alarm,Sunset/Parkside,Electrical Hazard,306
Alarm,Tenderloin,Electrical Hazard,14
Alarm,Treasure Island,Electrical Hazard,13
Alarm,Twin Peaks,Electrical Hazard,11
Alarm,Visitacion Valley,Electrical Hazard,21
Alarm,West of Twin Peaks,Electrical Hazard,68
Alarm,Western Addition,Electrical Hazard,14
Alarm,Bayview Hunters Point,Elevator / Escalator Rescue,53
Alarm,Bernal Heights,Elevator / Escalator Rescue,7
Alarm,Castro/Upper Market,Elevator / Escalator Rescue,10
Alarm,Chinatown,Elevator / Escalator Rescue,35
Alarm,Excelsior,Elevator / Escalator Rescue,4
Alarm,Financial District/South Beach,Elevator / Escalator Rescue,174
Alarm,Glen Park,Elevator / Escalator Rescue,1
Alarm,Haight Ashbury,Elevator / Escalator Rescue,1
Alarm,Hayes Valley,Elevator / Escalator Rescue,37
Alarm,Inner Richmond,Elevator / Escalator Rescue,6
Alarm,Inner Sunset,Elevator / Escalator Rescue,8
Alarm,Japantown,Elevator / Escalator Rescue,12
Alarm,Lakeshore,Elevator / Escalator Rescue,15
Alarm,Lincoln Park,Elevator / Escalator Rescue,1
Alarm,Lone Mountain/USF,Elevator / Escalator Rescue,7
Alarm,Marina,Elevator / Escalator Rescue,31
Alarm,Mission,Elevator / Escalator Rescue,49
Alarm,Mission Bay,Elevator / Escalator Rescue,55
Alarm,Nob Hill,Elevator / Escalator Rescue,111
Alarm,Noe Valley,Elevator / Escalator Rescue,3
Alarm,North Beach,Elevator / Escalator Rescue,22
Alarm,Oceanview/Merced/Ingleside,Elevator / Escalator Rescue,3
Alarm,Outer Mission,Elevator / Escalator Rescue,8
Alarm,Outer Richmond,Elevator / Escalator Rescue,10
Alarm,Pacific Heights,Elevator / Escalator Rescue,42
Alarm,Portola,Elevator / Escalator Rescue,1
Alarm,Potrero Hill,Elevator / Escalator Rescue,26
Alarm,Presidio,Elevator / Escalator Rescue,5
Alarm,Presidio Heights,Elevator / Escalator Rescue,3
Alarm,Russian Hill,Elevator / Escalator Rescue,19
Alarm,Seacliff,Elevator / Escalator Rescue,2
Alarm,South of Market,Elevator / Escalator Rescue,125
Alarm,Sunset/Parkside,Elevator / Escalator Rescue,5
Alarm,Tenderloin,Elevator / Escalator Rescue,207
Alarm,Twin Peaks,Elevator / Escalator Rescue,4
Alarm,Visitacion Valley,Elevator / Escalator Rescue,4
Alarm,West of Twin Peaks,Elevator / Escalator Rescue,7
Alarm,Western Addition,Elevator / Escalator Rescue,34
Alarm,Bayview Hunters Point,Fuel Spill,53
Alarm,Bernal Heights,Fuel Spill,4
Alarm,Castro/Upper Market,Fuel Spill,9
Alarm,Chinatown,Fuel Spill,5
Alarm,Excelsior,Fuel Spill,2
Alarm,Financial District/South Beach,Fuel Spill,21
Alarm,Golden Gate Park,Fuel Spill,1
Alarm,Haight Ashbury,Fuel Spill,5
Alarm,Hayes Valley,Fuel Spill,4
Alarm,Inner Richmond,Fuel Spill,10
Alarm,Inner Sunset,Fuel Spill,8
Alarm,Lakeshore,Fuel Spill,7
Alarm,Lone Mountain/USF,Fuel Spill,4
Alarm,Marina,Fuel Spill,14
Alarm,Mission,Fuel Spill,18
Alarm,Mission Bay,Fuel Spill,6
Alarm,Nob Hill,Fuel Spill,3
Alarm,Noe Valley,Fuel Spill,2
Alarm,North Beach,Fuel Spill,4
Alarm,Oceanview/Merced/Ingleside,Fuel Spill,6
Alarm,Outer Mission,Fuel Spill,9
Alarm,Outer Richmond,Fuel Spill,14
Alarm,Pacific Heights,Fuel Spill,5
Alarm,Portola,Fuel Spill,3
Alarm,Potrero Hill,Fuel Spill,20
Alarm,Presidio,Fuel Spill,6
Alarm,Presidio Heights,Fuel Spill,7
Alarm,Russian Hill,Fuel Spill,8
Alarm,South of Market,Fuel Spill,18
Alarm,Sunset/Parkside,Fuel Spill,19
Alarm,Tenderloin,Fuel Spill,9
Alarm,Treasure Island,Fuel Spill,12
Alarm,Twin Peaks,Fuel Spill,4
Alarm,Visitacion Valley,Fuel Spill,2
Alarm,West of Twin Peaks,Fuel Spill,9
Alarm,Western Addition,Fuel Spill,9
Alarm,Bayview Hunters Point,Gas Leak (Natural and LP Gases),114
Alarm,Bernal Heights,Gas Leak (Natural and LP Gases),61
Alarm,Castro/Upper Market,Gas Leak (Natural and LP Gases),49
Alarm,Chinatown,Gas Leak (Natural and LP Gases),30
Alarm,Excelsior,Gas Leak (Natural and LP Gases),39
Alarm,Financial District/South Beach,Gas Leak (Natural and LP Gases),89
Alarm,Glen Park,Gas Leak (Natural and LP Gases),14
Alarm,Golden Gate Park,Gas Leak (Natural and LP Gases),4
Alarm,Haight Ashbury,Gas Leak (Natural and LP Gases),57
Alarm,Hayes Valley,Gas Leak (Natural and LP Gases),63
Alarm,Inner Richmond,Gas Leak (Natural and LP Gases),63
Alarm,Inner Sunset,Gas Leak (Natural and LP Gases),36
Alarm,Japantown,Gas Leak (Natural and LP Gases),9
Alarm,Lakeshore,Gas Leak (Natural and LP Gases),57
Alarm,Lincoln Park,Gas Leak (Natural and LP Gases),3
Alarm,Lone Mountain/USF,Gas Leak (Natural and LP Gases),25
Alarm,Marina,Gas Leak (Natural and LP Gases),76
Alarm,Mission,Gas Leak (Natural and LP Gases),178
Alarm,Mission Bay,Gas Leak (Natural and LP Gases),18
Alarm,Nob Hill,Gas Leak (Natural and LP Gases),86
Alarm,Noe Valley,Gas Leak (Natural and LP Gases),46
Alarm,None,Gas Leak (Natural and LP Gases),3
Alarm,North Beach,Gas Leak (Natural and LP Gases),25
Alarm,Oceanview/Merced/Ingleside,Gas Leak (Natural and LP Gases),33
Alarm,Outer Mission,Gas Leak (Natural and LP Gases),26
Alarm,Outer Richmond,Gas Leak (Natural and LP Gases),99
Alarm,Pacific Heights,Gas Leak (Natural and LP Gases),51
Alarm,Portola,Gas Leak (Natural and LP Gases),13
Alarm,Potrero Hill,Gas Leak (Natural and LP Gases),85
Alarm,Presidio,Gas Leak (Natural and LP Gases),6
Alarm,Presidio Heights,Gas Leak (Natural and LP Gases),43
Alarm,Russian Hill,Gas Leak (Natural and LP Gases),28
Alarm,Seacliff,Gas Leak (Natural and LP Gases),6
Alarm,South of Market,Gas Leak (Natural and LP Gases),63
Alarm,Sunset/Parkside,Gas Leak (Natural and LP Gases),62
Alarm,Tenderloin,Gas Leak (Natural and LP Gases),118
Alarm,Treasure Island,Gas Leak (Natural and LP Gases),33
Alarm,Twin Peaks,Gas Leak (Natural and LP Gases),13
Alarm,Visitacion Valley,Gas Leak (Natural and LP Gases),31
Alarm,West of Twin Peaks,Gas Leak (Natural and LP Gases),44
Alarm,Western Addition,Gas Leak (Natural and LP Gases),96
Alarm,Bayview Hunters Point,HazMat,5
Alarm,Castro/Upper Market,HazMat,9
Alarm,Chinatown,HazMat,3
Alarm,Excelsior,HazMat,3
Alarm,Financial District/South Beach,HazMat,9
Alarm,Glen Park,HazMat,3
Alarm,Haight Ashbury,HazMat,3
Alarm,Hayes Valley,HazMat,4
Alarm,Inner Richmond,HazMat,3
Alarm,Marina,HazMat,6
Alarm,Mission,HazMat,9
Alarm,Mission Bay,HazMat,3
Alarm,Nob Hill,HazMat,5
Alarm,Noe Valley,HazMat,3
Alarm,Outer Mission,HazMat,6
Alarm,Outer Richmond,HazMat,6
Alarm,Pacific Heights,HazMat,3
Alarm,Russian Hill,HazMat,2
Alarm,South of Market,HazMat,7
Alarm,Tenderloin,HazMat,12
Alarm,Visitacion Valley,HazMat,3
Alarm,Western Addition,HazMat,9
Alarm,Bayview Hunters Point,Medical Incident,1
Alarm,Bernal Heights,Medical Incident,4
Alarm,Castro/Upper Market,Medical Incident,2
Alarm,Chinatown,Medical Incident,2
Alarm,Excelsior,Medical Incident,27
Alarm,Financial District/South Beach,Medical Incident,3
Alarm,Haight Ashbury,Medical Incident,1
Alarm,Hayes Valley,Medical Incident,23
Alarm,Inner Richmond,Medical Incident,2
Alarm,Inner Sunset,Medical Incident,7
Alarm,Japantown,Medical Incident,9
Alarm,Lakeshore,Medical Incident,3
Alarm,Lone Mountain/USF,Medical Incident,3
Alarm,Marina,Medical Incident,3
Alarm,Mission,Medical Incident,6
Alarm,Mission Bay,Medical Incident,4
